x1,y1
0.10811,0.39466
0.10911,0.40082
0.11011,0.40699
0.11111,0.41318
0.11211,0.41938
0.11311,0.42559
0.11411,0.43182
0.11512,0.43805
0.11612,0.4443
0.11712,0.45055
0.11812,0.45681
0.11912,0.46308
0.12012,0.46936
0.12112,0.47564
0.12212,0.48192
0.12312,0.48821
0.12412,0.4945
0.12513,0.50079
0.12613,0.50708
0.12713,0.51336
0.12813,0.51965
0.12913,0.52593
0.13013,0.53221
0.13113,0.53848
0.13213,0.54475
0.13313,0.55101
0.13413,0.55727
0.13514,0.56351
0.13614,0.56974
0.13714,0.57596
0.13814,0.58217
0.13914,0.58837
0.14014,0.59456
0.14114,0.60072
0.14214,0.60688
0.14314,0.61301
0.14414,0.61913
0.14515,0.62523
0.14615,0.63131
0.14715,0.63737
0.14815,0.6434
0.14915,0.64942
0.15015,0.65541
0.15115,0.66137
0.15215,0.66731
0.15315,0.67322
0.15415,0.67911
0.15516,0.68497
0.15616,0.6908
0.15716,0.6966
0.15816,0.70236
0.15916,0.7081
0.16016,0.7138
0.16116,0.71947
0.16216,0.7251
0.16316,0.7307
0.16416,0.73626
0.16517,0.74179
0.16617,0.74727
0.16717,0.75272
0.16817,0.75813
0.16917,0.76349
0.17017,0.76882
0.17117,0.7741
0.17217,0.77934
0.17317,0.78453
0.17417,0.78968
0.17518,0.79478
0.17618,0.79984
0.17718,0.80485
0.17818,0.80981
0.17918,0.81472
0.18018,0.81958
0.18118,0.8244
0.18218,0.82916
0.18318,0.83386
0.18418,0.83852
0.18519,0.84312
0.18619,0.84767
0.18719,0.85216
0.18819,0.8566
0.18919,0.86098
0.19019,0.8653
0.19119,0.86957
0.19219,0.87377
0.19319,0.87792
0.19419,0.88201
0.1952,0.88604
0.1962,0.89
0.1972,0.89391
0.1982,0.89775
0.1992,0.90153
0.2002,0.90525
0.2012,0.9089
0.2022,0.91249
0.2032,0.91601
0.2042,0.91946
0.20521,0.92285
0.20621,0.92618
0.20721,0.92943
