x1,y1
0.42943,0.25245
0.43043,0.2497
0.43143,0.24697
0.43243,0.24426
0.43343,0.24156
0.43443,0.23887
0.43544,0.23621
0.43644,0.23356
0.43744,0.23092
0.43844,0.22831
0.43944,0.22571
0.44044,0.22312
0.44144,0.22055
0.44244,0.218
0.44344,0.21547
0.44444,0.21295
0.44545,0.21045
0.44645,0.20796
0.44745,0.20549
0.44845,0.20304
0.44945,0.2006
0.45045,0.19818
0.45145,0.19578
0.45245,0.19339
0.45345,0.19102
0.45445,0.18867
0.45546,0.18633
0.45646,0.18401
0.45746,0.1817
0.45846,0.17941
0.45946,0.17714
0.46046,0.17488
0.46146,0.17264
0.46246,0.17042
0.46346,0.16821
0.46446,0.16602
0.46547,0.16384
0.46647,0.16168
0.46747,0.15954
0.46847,0.15741
0.46947,0.1553
0.47047,0.15321
0.47147,0.15113
0.47247,0.14907
0.47347,0.14702
0.47447,0.14499
0.47548,0.14297
0.47648,0.14098
0.47748,0.13899
0.47848,0.13703
0.47948,0.13507
0.48048,0.13314
0.48148,0.13122
0.48248,0.12932
0.48348,0.12743
0.48448,0.12556
0.48549,0.1237
0.48649,0.12186
0.48749,0.12003
0.48849,0.11823
0.48949,0.11643
0.49049,0.11465
0.49149,0.11289
0.49249,0.11114
0.49349,0.10941
0.49449,0.10769
0.4955,0.10599
0.4965,0.10431
0.4975,0.10264
0.4985,0.10098
0.4995,0.099341
0.5005,0.097717
0.5015,0.096107
0.5025,0.094512
0.5035,0.092933
0.5045,0.091369
0.50551,0.089819
0.50651,0.088285
0.50751,0.086765
0.50851,0.085261
0.50951,0.083771
0.51051,0.082296
0.51151,0.080836
0.51251,0.079391
0.51351,0.07796
0.51451,0.076544
0.51552,0.075143
0.51652,0.073756
0.51752,0.072383
0.51852,0.071026
0.51952,0.069682
0.52052,0.068354
0.52152,0.067039
0.52252,0.065739
0.52352,0.064453
0.52452,0.063181
0.52553,0.061924
0.52653,0.060681
0.52753,0.059452
0.52853,0.058237
0.52953,0.057036
0.53053,0.055849
0.53153,0.054676
0.53253,0.053516
0.53353,0.052371
0.53453,0.05124
0.53554,0.050122
0.53654,0.049018
0.53754,0.047928
0.53854,0.046851
0.53954,0.045788
0.54054,0.044739
0.54154,0.043703
0.54254,0.04268
0.54354,0.041671
0.54454,0.040675
0.54555,0.039693
0.54655,0.038724
0.54755,0.037768
0.54855,0.036826
0.54955,0.035896
0.55055,0.03498
0.55155,0.034076
0.55255,0.033186
0.55355,0.032309
0.55455,0.031444
0.55556,0.030592
0.55656,0.029754
0.55756,0.028928
0.55856,0.028114
0.55956,0.027314
0.56056,0.026526
0.56156,0.025751
0.56256,0.024988
0.56356,0.024238
0.56456,0.0235
0.56557,0.022774
0.56657,0.022061
0.56757,0.021361
0.56857,0.020672
0.56957,0.019996
0.57057,0.019332
0.57157,0.01868
0.57257,0.01804
0.57357,0.017412
0.57457,0.016796
0.57558,0.016193
0.57658,0.015601
0.57758,0.01502
0.57858,0.014452
0.57958,0.013896
0.58058,0.013351
0.58158,0.012817
0.58258,0.012296
0.58358,0.011786
0.58458,0.011287
0.58559,0.0108
0.58659,0.010325
0.58759,0.0098605
0.58859,0.0094076
0.58959,0.008966
0.59059,0.0085357
0.59159,0.0081165
0.59259,0.0077085
0.59359,0.0073116
0.59459,0.0069258
0.5956,0.006551
0.5966,0.0061871
0.5976,0.0058341
0.5986,0.005492
0.5996,0.0051608
0.6006,0.0048403
0.6016,0.0045305
0.6026,0.0042315
0.6036,0.003943
0.6046,0.0036652
0.60561,0.0033979
0.60661,0.0031411
0.60761,0.0028948
0.60861,0.0026589
0.60961,0.0024333
0.61061,0.0022181
0.61161,0.0020131
0.61261,0.0018184
0.61361,0.0016338
0.61461,0.0014594
0.61562,0.001295
0.61662,0.0011407
0.61762,0.00099645
0.61862,0.00086211
0.61962,0.00073768
0.62062,0.00062311
0.62162,0.00051836
0.62262,0.00042339
0.62362,0.00033814
0.62462,0.00026258
0.62563,0.00019665
0.62663,0.00014032
0.62763,9.3538e-05
0.62863,5.6262e-05
0.62963,2.8446e-05
0.63063,1.0046e-05
0.63163,1.0182e-06
0.63263,0
0.63363,0
0.63463,0
